,precision,recall,f1-score,support
Neutral,0.9352791878172588,0.971563088512241,0.9530759283207094,5310.0
Stress,0.9621586048042119,0.9740173217854764,0.9680516470782984,3002.0
Amusement,0.8942240779401531,0.7648809523809523,0.8245107475136348,1680.0
accuracy,0.9375500400320256,0.9375500400320256,0.9375500400320256,0.9375500400320256
macro avg,0.9305539568538747,0.90348712089289,0.9152127743042143,9992.0
weighted avg,0.9364520686420481,0.9375500400320256,0.9359589951696282,9992.0
